Training X size: (10000, 300)
New Test X size: (2020, 300)
Observed mmd = 0.0005950495049509107
(12020, 300)
Trial 1: Permutated mmd = 0.0005950495049483629
Trial 2: Permutated mmd = 0.0005950495049483465
Trial 3: Permutated mmd = 0.0005950495049483487
Trial 4: Permutated mmd = 0.0005950495049509364
Trial 5: Permutated mmd = 0.000595049504948323
Trial 6: Permutated mmd = 0.0005950495049483179
Trial 7: Permutated mmd = 0.0005950495049483436
Trial 8: Permutated mmd = 0.000595049504950936
Trial 9: Permutated mmd = 0.0005950495049509375
Trial 10: Permutated mmd = 0.0005950495049509346
Trial 11: Permutated mmd = 0.0005950495049483495
Trial 12: Permutated mmd = 0.00059504950495094
Trial 13: Permutated mmd = 0.000595049504950933
Trial 14: Permutated mmd = 0.0005950495049509328
Trial 15: Permutated mmd = 0.0005950495049509098
Trial 16: Permutated mmd = 0.0005950495049509071
Trial 17: Permutated mmd = 0.0005950495049483461
Trial 18: Permutated mmd = 0.0005950495049509327
Trial 19: Permutated mmd = 0.0005950495049483402
Trial 20: Permutated mmd = 0.0005950495049509085
Trial 21: Permutated mmd = 0.0005950495049509353
Trial 22: Permutated mmd = 0.0005950495049509344
Trial 23: Permutated mmd = 0.0005950495049509344
Trial 24: Permutated mmd = 0.0005950495049509313
Trial 25: Permutated mmd = 0.0005950495049484412
Trial 26: Permutated mmd = 0.0005950495049483474
Trial 27: Permutated mmd = 0.0005950495049509254
Trial 28: Permutated mmd = 0.0005950495049509108
Trial 29: Permutated mmd = 0.0005950495049509304
Trial 30: Permutated mmd = 0.0005950495049483187
Trial 31: Permutated mmd = 0.0005950495049509097
Trial 32: Permutated mmd = 0.000595049504950911
Trial 33: Permutated mmd = 0.0005950495049509312
Trial 34: Permutated mmd = 0.0005950495049483424
Trial 35: Permutated mmd = 0.0005950495049509038
Trial 36: Permutated mmd = 0.0005950495049483439
Trial 37: Permutated mmd = 0.0005950495049509307
Trial 38: Permutated mmd = 0.0005950495049509358
Trial 39: Permutated mmd = 0.000595049504950935
Trial 40: Permutated mmd = 0.0005950495049509038
Trial 41: Permutated mmd = 0.0005950495049483191
Trial 42: Permutated mmd = 0.0005950495049509018
Trial 43: Permutated mmd = 0.000595049504948323
Trial 44: Permutated mmd = 0.0005950495049509468
Trial 45: Permutated mmd = 0.00059504950494834
Trial 46: Permutated mmd = 0.0005950495049509326
Trial 47: Permutated mmd = 0.0005950495049483613
Trial 48: Permutated mmd = 0.0005950495049483442
Trial 49: Permutated mmd = 0.0005950495049509331
Trial 50: Permutated mmd = 0.0005950495049509307
Trial 51: Permutated mmd = 0.0005950495049509102
Trial 52: Permutated mmd = 0.0005950495049509016
Trial 53: Permutated mmd = 0.0005950495049483405
Trial 54: Permutated mmd = 0.0005950495049509384
Trial 55: Permutated mmd = 0.0005950495049509363
Trial 56: Permutated mmd = 0.0005950495049509346
Trial 57: Permutated mmd = 0.0005950495049509355
Trial 58: Permutated mmd = 0.0005950495049509084
Trial 59: Permutated mmd = 0.0005950495049509347
Trial 60: Permutated mmd = 0.0005950495049509358
Trial 61: Permutated mmd = 0.000595049504950934
Trial 62: Permutated mmd = 0.0005950495049509342
Trial 63: Permutated mmd = 0.0005950495049484476
Trial 64: Permutated mmd = 0.000595049504951032
Trial 65: Permutated mmd = 0.0005950495049509299
Trial 66: Permutated mmd = 0.0005950495049509086
Trial 67: Permutated mmd = 0.0005950495049509364
Trial 68: Permutated mmd = 0.0005950495049483439
Trial 69: Permutated mmd = 0.0005950495049509347
Trial 70: Permutated mmd = 0.0005950495049509114
Trial 71: Permutated mmd = 0.0005950495049509112
Trial 72: Permutated mmd = 0.0005950495049509102
Trial 73: Permutated mmd = 0.0005950495049509299
Trial 74: Permutated mmd = 0.0005950495049509102
Trial 75: Permutated mmd = 0.0005950495049509055
Trial 76: Permutated mmd = 0.0005950495049483424
Trial 77: Permutated mmd = 0.000595049504950903
Trial 78: Permutated mmd = 0.0005950495049509351
Trial 79: Permutated mmd = 0.0005950495049483458
Trial 80: Permutated mmd = 0.0005950495049483491
Trial 81: Permutated mmd = 0.000595049504950911
Trial 82: Permutated mmd = 0.0005950495049509285
Trial 83: Permutated mmd = 0.0005950495049509311
Trial 84: Permutated mmd = 0.0005950495049509286
Trial 85: Permutated mmd = 0.0005950495049509318
Trial 86: Permutated mmd = 0.0005950495049509334
Trial 87: Permutated mmd = 0.000595049504948326
Trial 88: Permutated mmd = 0.0005950495049509346
Trial 89: Permutated mmd = 0.0005950495049509351
Trial 90: Permutated mmd = 0.000595049504950909
Trial 91: Permutated mmd = 0.0005950495049509329
Trial 92: Permutated mmd = 0.0005950495049509356
Trial 93: Permutated mmd = 0.0005950495049509112
Trial 94: Permutated mmd = 0.0005950495049509334
Trial 95: Permutated mmd = 0.0005950495049509358
Trial 96: Permutated mmd = 0.0005950495049509104
Trial 97: Permutated mmd = 0.000595049504948344
Trial 98: Permutated mmd = 0.0005950495049509357
Trial 99: Permutated mmd = 0.0005950495049509364
Trial 100: Permutated mmd = 0.0005950495049509343
