iter	MultiClass
0	3.312403606
1	3.296765668
2	3.279392134
3	3.264643111
4	3.251532516
5	3.236699021
6	3.222008104
7	3.206240527
8	3.196330615
9	3.181821583
10	3.169287892
11	3.155644827
12	3.143431937
13	3.131089653
14	3.119916313
15	3.106527398
16	3.093306208
17	3.084094782
18	3.074577937
19	3.064388729
20	3.051456601
21	3.038943174
22	3.0259588
23	3.016008361
24	3.007063537
25	2.997944397
26	2.990958314
27	2.981776429
28	2.971022768
29	2.960324038
30	2.951189273
31	2.941469303
32	2.932165837
33	2.924191228
34	2.913625799
35	2.902652167
36	2.894349189
37	2.887971748
38	2.88059626
39	2.873220039
40	2.864197335
41	2.856572091
42	2.847756906
43	2.840706858
44	2.8318968
45	2.822566722
46	2.814244213
47	2.807488598
48	2.799458569
49	2.79143025
50	2.783662428
51	2.774519362
52	2.764419509
53	2.757684646
54	2.751061356
55	2.745839432
56	2.737442704
57	2.730125566
58	2.723797441
59	2.716147783
60	2.709024493
61	2.702698566
62	2.695883625
63	2.688147053
64	2.679930256
65	2.672759358
66	2.665714925
67	2.657849203
68	2.651387533
69	2.645436362
70	2.639337974
71	2.633756675
72	2.628172203
73	2.620418053
74	2.616120446
75	2.608246667
76	2.60306698
77	2.596376795
78	2.59059408
79	2.582525965
80	2.575413417
81	2.570424892
82	2.564910244
83	2.558864102
84	2.553418545
85	2.547904874
86	2.540857511
87	2.533814298
88	2.52795883
89	2.522227873
90	2.516812835
91	2.511604095
92	2.504184173
93	2.499131195
94	2.49445932
95	2.490409028
96	2.484985444
97	2.47890146
98	2.474066255
99	2.469185396
100	2.463917086
101	2.457173922
102	2.453211032
103	2.447012546
104	2.441124119
105	2.435751804
106	2.43079575
107	2.425450536
108	2.420449803
109	2.41631577
110	2.411887548
111	2.406982275
112	2.40246543
113	2.397953223
114	2.393119727
115	2.388106544
116	2.384179054
117	2.379983741
118	2.375146828
119	2.369732277
120	2.366051369
121	2.360359231
122	2.356379983
123	2.351553079
124	2.347470072
125	2.342586283
126	2.336614359
127	2.332808207
128	2.327587504
129	2.321975932
130	2.317778423
131	2.314412945
132	2.310296734
133	2.305872418
134	2.301432965
135	2.297471784
136	2.293171979
137	2.288037946
138	2.283506941
139	2.279455183
140	2.275066267
141	2.271305525
142	2.266765731
143	2.26233409
144	2.259064559
145	2.254235214
146	2.250108017
147	2.246406113
148	2.242361191
149	2.239004502
150	2.233829698
151	2.230126085
152	2.225316515
153	2.220749376
154	2.216448351
155	2.211523303
156	2.206934191
157	2.201817981
158	2.197521106
159	2.194244495
160	2.190589954
161	2.186622913
162	2.182059681
163	2.178429799
164	2.17456017
165	2.170839711
166	2.166808706
167	2.163501577
168	2.158565054
169	2.15543981
170	2.15184313
171	2.147452262
172	2.14325402
173	2.139322623
174	2.135328483
175	2.131907096
176	2.129239128
177	2.12531823
178	2.121741814
179	2.117922722
180	2.114645623
181	2.111043572
182	2.107619744
183	2.103205926
184	2.09963537
185	2.096594843
186	2.093292353
187	2.0897008
188	2.086961543
189	2.083242793
190	2.079412959
191	2.076118281
192	2.071588008
193	2.067797237
194	2.064294796
195	2.060624386
196	2.056944699
197	2.054042843
198	2.050570431
199	2.047265256
200	2.044515744
201	2.041880735
202	2.037629148
203	2.033351194
204	2.029433104
205	2.025648192
206	2.022077635
207	2.018849608
208	2.015523314
209	2.012575317
210	2.009353515
211	2.006170532
212	2.002373901
213	1.998437744
214	1.995735962
215	1.992216797
216	1.988781739
217	1.98509131
218	1.981720948
219	1.978426881
220	1.974940065
221	1.971865969
222	1.968491091
223	1.965862673
224	1.962916262
225	1.960038943
226	1.956980349
227	1.95413721
228	1.950473636
229	1.947439823
230	1.944284061
231	1.940987919
232	1.937668949
233	1.934871952
234	1.931748417
235	1.929015996
236	1.926857182
237	1.92335999
238	1.920858769
239	1.917780034
240	1.915451543
241	1.911649908
242	1.908457769
243	1.905252447
244	1.902625738
245	1.899876471
246	1.898151007
247	1.894723761
248	1.891069343
249	1.888666755
250	1.884976447
251	1.881902229
252	1.879467415
253	1.876286018
254	1.873660286
255	1.870825081
256	1.868353524
257	1.865115365
258	1.862346688
259	1.859727548
260	1.857243173
261	1.854241342
262	1.851006845
263	1.847913339
264	1.845096201
265	1.842367807
266	1.839609629
267	1.836716807
268	1.834191905
269	1.830865001
270	1.827906261
271	1.825372813
272	1.82289088
273	1.820609264
274	1.818187145
275	1.815224132
276	1.812805431
277	1.810293347
278	1.807588757
279	1.804896252
280	1.80173512
281	1.799308362
282	1.796521253
283	1.793440809
284	1.790488416
285	1.787839002
286	1.785573499
287	1.782698988
288	1.780049818
289	1.777498427
290	1.774579848
291	1.772342055
292	1.769915908
293	1.767061538
294	1.764752334
295	1.762112075
296	1.760295669
297	1.757365127
298	1.754792495
299	1.751642105
300	1.748728897
301	1.746561539
302	1.744208023
303	1.741412125
304	1.739070817
305	1.736499772
306	1.734015153
307	1.731578752
308	1.729284074
309	1.727235002
310	1.724884416
311	1.723137346
312	1.720339739
313	1.717680437
314	1.714705828
315	1.712242327
316	1.709974017
317	1.707185565
318	1.704954852
319	1.702033343
320	1.700200336
321	1.697531635
322	1.695156024
323	1.692579975
324	1.690485859
325	1.687785542
326	1.685682881
327	1.683515766
328	1.681683613
329	1.679781147
330	1.678020772
331	1.675041402
332	1.672834615
333	1.670575215
334	1.668529683
335	1.666401265
336	1.664070333
337	1.662633688
338	1.660303243
339	1.657801168
340	1.655299215
341	1.65340444
342	1.651200095
343	1.649016501
344	1.646684348
345	1.644612937
346	1.642736472
347	1.640495749
348	1.638226829
349	1.635605613
350	1.63318679
351	1.631316429
352	1.629407127
353	1.62790908
354	1.626414574
355	1.624389061
356	1.622622948
357	1.620363793
358	1.618367455
359	1.616246605
360	1.614111962
361	1.612095605
362	1.609720849
363	1.607462915
364	1.605175805
365	1.603012597
366	1.600918481
367	1.599013086
368	1.596783716
369	1.594604273
370	1.59273086
371	1.590506251
372	1.587835719
373	1.585352198
374	1.582966456
375	1.580711818
376	1.57848257
377	1.577115138
378	1.575208034
379	1.573377834
380	1.57163943
381	1.569561306
382	1.568104519
383	1.565812282
384	1.563402981
385	1.561010525
386	1.559319119
387	1.557374295
388	1.555554715
389	1.553679471
390	1.551316067
391	1.549623563
392	1.548010648
393	1.545847074
394	1.543621122
395	1.541571073
396	1.539254423
397	1.537376615
398	1.535574857
399	1.533433622
400	1.531658842
401	1.530102202
402	1.528014189
403	1.52588101
404	1.524263457
405	1.522084014
406	1.520080718
407	1.51843875
408	1.516128081
409	1.51459439
410	1.513136382
411	1.511137237
412	1.509239532
413	1.507643707
414	1.505363189
415	1.503505279
416	1.50167923
417	1.499520416
418	1.497823761
419	1.495842072
420	1.4946232
421	1.492366364
422	1.49070572
423	1.488978669
424	1.487286652
425	1.485610993
