iter	Passed	Remaining
0	20	167886
1	33	132560
2	45	120940
3	57	114195
4	69	110826
5	81	108528
6	93	106555
7	105	105592
8	116	103485
9	128	102956
10	140	102182
11	152	101610
12	164	100982
13	176	100408
14	188	100143
15	200	100000
16	212	99662
17	224	99563
18	236	99270
19	248	98977
20	260	98795
21	272	98692
22	284	98530
23	295	98280
24	307	98145
25	319	97907
26	330	97657
27	342	97463
28	353	97184
29	365	97122
30	377	96961
31	389	96960
32	401	96829
33	412	96691
34	424	96514
35	435	96439
36	447	96339
37	459	96218
38	470	96117
39	482	96050
40	494	95982
41	505	95860
42	518	95873
43	529	95827
44	541	95765
45	553	95755
46	565	95750
47	577	95699
48	589	95665
49	601	95628
50	613	95580
51	625	95605
52	637	95587
53	649	95559
54	661	95493
55	672	95417
56	684	95382
57	696	95358
58	708	95310
59	719	95247
60	731	95186
61	743	95191
62	755	95143
63	767	95108
64	779	95142
65	791	95108
66	802	95041
67	814	95005
68	826	94982
69	838	94975
70	850	94965
71	862	94946
72	874	94910
73	885	94877
74	897	94819
75	908	94746
76	920	94737
77	932	94751
78	944	94702
79	956	94712
80	968	94678
81	980	94633
82	991	94614
83	1003	94582
84	1015	94553
85	1027	94530
86	1039	94531
87	1051	94518
88	1062	94447
89	1074	94434
90	1086	94408
91	1097	94366
92	1109	94373
93	1121	94326
94	1133	94305
95	1145	94294
96	1157	94284
97	1169	94272
98	1180	94247
99	1192	94223
100	1204	94167
101	1216	94159
102	1227	94119
103	1239	94107
104	1251	94100
105	1263	94080
106	1275	94070
107	1287	94057
108	1298	94029
109	1310	94016
110	1322	94012
111	1334	94013
112	1346	93975
113	1357	93919
114	1369	93914
115	1381	93897
116	1393	93911
117	1405	93895
118	1417	93884
119	1429	93881
120	1441	93862
121	1453	93869
122	1465	93853
123	1477	93840
124	1489	93822
125	1501	93806
126	1512	93784
127	1524	93770
128	1536	93756
129	1548	93756
130	1560	93737
131	1572	93712
132	1584	93697
133	1595	93660
134	1607	93627
135	1618	93609
136	1630	93602
137	1642	93571
138	1654	93560
139	1666	93544
140	1677	93515
141	1689	93479
142	1701	93466
143	1712	93441
144	1724	93425
145	1736	93419
146	1748	93398
147	1760	93378
148	1771	93356
149	1783	93330
150	1795	93320
151	1807	93313
152	1818	93282
153	1831	93287
154	1842	93276
155	1855	93275
156	1866	93239
157	1878	93230
158	1890	93220
159	1901	93163
160	1913	93153
161	1925	93140
162	1937	93133
163	1948	93122
164	1960	93106
165	1972	93093
166	1984	93093
167	1996	93087
168	2008	93069
169	2020	93053
170	2032	93041
171	2043	93023
172	2055	93012
173	2067	92993
174	2079	92975
175	2090	92952
176	2102	92933
177	2114	92911
178	2126	92892
179	2138	92888
180	2149	92871
181	2161	92865
182	2173	92847
183	2185	92832
184	2197	92841
185	2209	92826
186	2221	92811
187	2233	92793
188	2245	92797
189	2256	92749
190	2268	92729
191	2279	92705
192	2291	92686
193	2303	92671
194	2315	92662
195	2326	92645
196	2338	92625
197	2350	92604
198	2361	92575
199	2373	92559
200	2384	92537
201	2396	92528
202	2408	92519
203	2420	92505
204	2432	92498
205	2444	92490
206	2456	92475
207	2467	92453
208	2479	92442
209	2491	92426
210	2503	92420
211	2515	92401
212	2527	92385
213	2539	92379
214	2550	92369
215	2562	92358
216	2574	92339
217	2586	92317
218	2597	92297
219	2608	92231
220	2619	92213
221	2631	92207
222	2643	92180
223	2655	92174
224	2666	92153
225	2678	92144
226	2690	92136
227	2702	92118
228	2714	92103
229	2726	92099
230	2738	92093
231	2749	92070
232	2761	92065
233	2773	92053
234	2785	92030
235	2797	92021
236	2808	92008
237	2820	92000
238	2832	91991
239	2844	91980
240	2856	91979
241	2868	91969
242	2880	91947
243	2892	91937
244	2904	91922
245	2915	91911
246	2927	91899
247	2939	91882
248	2951	91876
249	2963	91855
250	2974	91843
251	2987	91838
252	2998	91818
253	3010	91814
254	3022	91799
255	3034	91782
256	3046	91781
257	3058	91775
258	3070	91762
259	3081	91741
260	3093	91728
261	3105	91719
262	3117	91697
263	3128	91687
264	3140	91673
265	3152	91657
266	3164	91645
267	3176	91635
268	3187	91621
269	3199	91609
270	3211	91591
271	3223	91579
272	3235	91572
273	3247	91562
274	3259	91548
275	3270	91538
276	3282	91530
277	3294	91519
278	3306	91505
279	3318	91492
280	3331	91502
281	3344	91524
282	3356	91519
283	3368	91518
284	3380	91511
285	3392	91503
286	3404	91493
287	3416	91486
288	3428	91480
289	3440	91478
290	3452	91464
291	3464	91445
292	3476	91445
293	3488	91437
294	3500	91421
295	3512	91407
296	3523	91386
297	3535	91372
298	3547	91364
299	3559	91358
300	3570	91335
301	3582	91330
302	3595	91325
303	3606	91301
304	3618	91291
305	3630	91275
306	3641	91258
307	3653	91244
308	3665	91228
309	3677	91213
310	3688	91202
311	3700	91183
312	3712	91178
313	3724	91166
314	3736	91160
315	3748	91142
316	3759	91125
317	3771	91113
318	3783	91099
319	3795	91085
320	3806	91062
321	3818	91062
322	3830	91053
323	3842	91037
324	3854	91025
325	3865	91005
326	3877	90989
327	3889	90977
328	3901	90966
329	3913	90947
330	3925	90944
331	3937	90936
332	3949	90924
333	3961	90919
334	3973	90908
335	3985	90899
336	3997	90888
337	4008	90870
338	4020	90856
339	4032	90842
340	4044	90835
341	4055	90818
342	4067	90799
343	4079	90791
344	4091	90778
345	4103	90766
346	4114	90749
